status,model,pretrained,learning_rate,weight_decay,batch_size,label_smoothing,epochs_completed,best_epoch,best_val_acc,test_loss,test_acc,early_stopped,return_code,run_name
completed,efficientnet_b0,True,0.0003,0.0001,16,0.0,30,15,0.9382352941176471,0.33972263002305,0.910879817856562,True,0,efficientnet_b0_pretrained_lr0p0003_wd0p0001_bs16_ls0
completed,efficientnet_b0,True,0.0003,1e-05,16,0.0,30,15,0.9382352941176471,0.3395783225134085,0.9107171897869573,True,0,efficientnet_b0_pretrained_lr0p0003_wd1e-05_bs16_ls0
completed,efficientnet_b0,True,5e-05,0.0001,16,0.0,63,48,0.9382352941176471,0.34229897691827804,0.9164091722231257,True,0,efficientnet_b0_pretrained_lr5e-05_wd0p0001_bs16_ls0
completed,efficientnet_b0,True,5e-05,1e-05,16,0.0,63,48,0.9382352941176471,0.3423444363625578,0.9162465441535209,True,0,efficientnet_b0_pretrained_lr5e-05_wd1e-05_bs16_ls0
completed,efficientnet_b3,True,0.0001,1e-05,32,0.0,76,61,0.9382352941176471,0.3135479178296602,0.9149455195966824,True,0,efficientnet_b3_pretrained_lr0p0001_wd1e-05_bs32_ls0
completed,efficientnet_b3,True,5e-05,0.0001,16,0.0,59,44,0.9382352941176471,0.35429063768580904,0.9155960318751016,True,0,efficientnet_b3_pretrained_lr5e-05_wd0p0001_bs16_ls0
skipped,resnet50,True,0.0003,0.0001,32,0.1,34,19,0.9372549019607843,1.1302877565984282,0.9185233371279883,True,0,resnet50_pretrained_lr0p0003_wd0p0001_bs32_ls0p1
completed,efficientnet_b3,True,0.0001,0.0001,32,0.1,59,44,0.9372549019607843,1.1578721721824892,0.9172223125711498,True,0,efficientnet_b3_pretrained_lr0p0001_wd0p0001_bs32_ls0p1
completed,efficientnet_b3,True,0.0001,1e-05,32,0.1,49,34,0.9372549019607843,1.1715807798607094,0.912668726622215,True,0,efficientnet_b3_pretrained_lr0p0001_wd1e-05_bs32_ls0p1
skipped,resnet50,True,0.0003,1e-05,32,0.1,34,19,0.9362745098039216,1.1432313471329776,0.9110424459261669,True,0,resnet50_pretrained_lr0p0003_wd1e-05_bs32_ls0p1
completed,efficientnet_b3,True,0.0003,1e-05,16,0.0,33,18,0.9362745098039216,0.3231573714836063,0.9165718002927306,True,0,efficientnet_b3_pretrained_lr0p0003_wd1e-05_bs16_ls0
completed,resnet101,True,0.0001,0.0001,16,0.1,40,25,0.9352941176470588,1.122969723955599,0.915270775735892,True,0,resnet101_pretrained_lr0p0001_wd0p0001_bs16_ls0p1
completed,resnet101,True,0.0001,0.0001,32,0.1,45,30,0.9343137254901961,1.1554140288920145,0.9183607090583835,True,0,resnet101_pretrained_lr0p0001_wd0p0001_bs32_ls0p1
completed,resnet101,True,0.0001,1e-05,16,0.1,36,21,0.9343137254901961,1.1261502038872249,0.9183607090583835,True,0,resnet101_pretrained_lr0p0001_wd1e-05_bs16_ls0p1
skipped,resnet50,True,0.0003,1e-05,16,0.0,62,47,0.9333333333333333,0.4918003739119607,0.8938038705480565,True,0,resnet50_pretrained_lr0p0003_wd1e-05_bs16_ls0
completed,resnet101,True,0.0001,0.0001,16,0.0,37,22,0.9333333333333333,0.35447660367934947,0.9097414213693283,True,0,resnet101_pretrained_lr0p0001_wd0p0001_bs16_ls0
completed,resnet101,True,5e-05,0.0001,32,0.1,68,53,0.9333333333333333,1.1917607282832263,0.9128313546918199,True,0,resnet101_pretrained_lr5e-05_wd0p0001_bs32_ls0p1
completed,resnet101,True,5e-05,1e-05,16,0.1,37,22,0.9333333333333333,1.1805509977620643,0.9115303301349813,True,0,resnet101_pretrained_lr5e-05_wd1e-05_bs16_ls0p1
